Country,Tests,Test Pop,Density,Urban Pop,Quarantine,Schools,Restrictions,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Total Infected,Total Deaths,Total Recovered
Singapore,,,8358.0,99.0,,,,2.4,1.07,1.05,0.97,0.95,1.0,0.83,0.96,8.32,3.17,14.81,34.6,364156657769.87,27.7,5850.342,16.5,47.6581254061005,844,3,212
Slovenia,6712.0,309.73450539999993,103.0,55.0,,,,4.6,1.07,1.06,1.05,1.02,0.97,0.68,0.95,11.89,8.36,16.95,44.5,54007972106.4629,22.01,2078.938,22.5,50.2452070327013,730,11,10
South Africa,645.0,91951.45736,49.0,67.0,,,,2.8,1.02,1.01,0.98,1.02,0.87,0.73,0.98,44.3,28.03,75.32,27.1,368288939768.322,77.02,59308.69,20.3,50.694150384859505,1280,2,31
Spain,,,94.0,80.0,3/15/2020,,,3.0,1.07,1.06,1.07,1.04,0.95,0.74,0.98,16.37,8.22,27.49,42.7,1419041949909.82,31.07,46754.778,29.3,50.8966413132559,80110,6803,14709
Sri Lanka,,,341.0,18.0,,,,3.6,1.04,1.04,1.03,0.96,0.86,0.74,0.96,21.58,15.38,29.36,32.8,88900770857.6351,40.15,21413.249,13.0,51.966817656801396,117,1,11
Sweden,14300.0,706.2423077000001,25.0,88.0,,3/17/2020,3/11/2020,2.6,1.06,1.06,1.06,1.03,1.01,0.85,1.0,16.17,16.58,17.03,41.2,556086488936.559,47.21,10099.265,18.8,49.9457761669857,3700,110,16
Switzerland,4000.0,2163.6555,219.0,74.0,,3/13/2020,3/16/2020,4.7,1.06,1.06,1.04,1.01,1.0,0.78,0.97,15.22,11.94,19.47,42.4,705140354166.312,21.18,8654.622,25.7,50.427124662223704,14829,300,1595
Tanzania,,,67.0,37.0,,,,0.7,1.03,1.02,1.0,1.01,0.78,0.75,0.99,18.09,14.24,22.47,17.7,58001200572.3965,59.83,59734.218,14.8,50.0510109095796,14,0,1
Thailand,7084.0,9853.187182,137.0,51.0,,,,2.1,1.05,1.05,1.04,0.98,0.89,0.78,0.97,25.82,12.91,41.67,37.7,504992757704.997,41.29,69799.978,19.9,51.2687046149695,1388,7,97
Tunisia,,,76.0,70.0,,,,2.3,1.07,1.06,1.01,0.94,1.03,0.97,0.99,23.54,10.97,38.83,31.6,39871132267.9361,40.64,11818.618999999999,32.7,50.437151859764214,312,8,2
Turkey,,,110.0,76.0,,3/16/2020,3/16/2020,2.7,1.05,1.05,1.04,1.03,0.99,0.8,1.01,35.63,21.2,55.26,30.9,771350330455.2671,39.86,84339.067,27.2,50.6778132013215,9217,131,105
United States,62657.0,5282.772093,36.0,83.0,,,,2.9,1.05,1.04,1.05,1.0,0.93,0.79,0.97,32.01,30.04,34.55,38.1,20544343456936.5,46.73,331002.651,21.8,50.5200146539124,140886,2467,2665
Ukraine,500.0,87467.524,75.0,69.0,,,,8.8,1.06,1.06,1.05,0.96,0.75,0.5,0.86,11.11,4.73,22.11,40.6,130832374404.882,49.04,43733.762,28.9,53.687750696908,475,10,6
United Arab Emirates,125000.0,79.123216,118.0,86.0,,,,1.2,1.05,1.05,1.47,3.2,2.93,1.69,2.18,18.37,12.55,20.21,30.3,414178942592.479,15.52,9890.402,28.9,30.636687950097603,570,3,58
United Kingdom,50442.0,1345.823143,281.0,83.0,,3/20/2020,3/20/2020,2.8,1.05,1.05,1.04,1.04,0.98,0.81,0.99,23.66,21.11,26.84,40.5,2855296731521.96,43.64,67886.011,22.3,50.63527456075789,19780,1231,151
Uruguay,,,20.0,96.0,,,,2.8,1.04,1.04,1.03,0.98,0.89,0.66,0.94,33.57,23.14,49.85,35.0,59596885024.3487,52.33,3473.73,16.8,51.7215426942936,304,1,0
Vietnam,9696.0,10039.04486,314.0,38.0,,,,2.6,1.11,1.11,1.08,1.01,0.85,0.63,1.0,26.26,16.8,41.72,30.5,245213686369.15695,48.22,97338.579,22.8,50.0964096241893,188,0,25
